,year,lib-cons,rally,work,button
1,1948,NA,NA,NA,NA
2,1948,NA,NA,NA,NA
3,1948,NA,NA,NA,NA
4,1948,NA,NA,NA,NA
5,1948,NA,NA,NA,NA
6,1948,NA,NA,NA,NA
7,1948,NA,NA,NA,NA
8,1948,NA,NA,NA,NA
9,1948,NA,NA,NA,NA
10,1948,NA,NA,NA,NA
11,1948,NA,NA,NA,NA
12,1948,NA,NA,NA,NA
13,1948,NA,NA,NA,NA
14,1948,NA,NA,NA,NA
15,1948,NA,NA,NA,NA
16,1948,NA,NA,NA,NA
17,1948,NA,NA,NA,NA
18,1948,NA,NA,NA,NA
19,1948,NA,NA,NA,NA
20,1948,NA,NA,NA,NA
21,1948,NA,NA,NA,NA
22,1948,NA,NA,NA,NA
23,1948,NA,NA,NA,NA
24,1948,NA,NA,NA,NA
25,1948,NA,NA,NA,NA
26,1948,NA,NA,NA,NA
27,1948,NA,NA,NA,NA
28,1948,NA,NA,NA,NA
29,1948,NA,NA,NA,NA
30,1948,NA,NA,NA,NA
31,1948,NA,NA,NA,NA
32,1948,NA,NA,NA,NA
33,1948,NA,NA,NA,NA
34,1948,NA,NA,NA,NA
35,1948,NA,NA,NA,NA
36,1948,NA,NA,NA,NA
37,1948,NA,NA,NA,NA
38,1948,NA,NA,NA,NA
39,1948,NA,NA,NA,NA
40,1948,NA,NA,NA,NA
41,1948,NA,NA,NA,NA
42,1948,NA,NA,NA,NA
43,1948,NA,NA,NA,NA
44,1948,NA,NA,NA,NA
45,1948,NA,NA,NA,NA
46,1948,NA,NA,NA,NA
47,1948,NA,NA,NA,NA
48,1948,NA,NA,NA,NA
49,1948,NA,NA,NA,NA
50,1948,NA,NA,NA,NA
51,1948,NA,NA,NA,NA
52,1948,NA,NA,NA,NA
53,1948,NA,NA,NA,NA
54,1948,NA,NA,NA,NA
55,1948,NA,NA,NA,NA
56,1948,NA,NA,NA,NA
57,1948,NA,NA,NA,NA
58,1948,NA,NA,NA,NA
59,1948,NA,NA,NA,NA
60,1948,NA,NA,NA,NA
61,1948,NA,NA,NA,NA
62,1948,NA,NA,NA,NA
63,1948,NA,NA,NA,NA
64,1948,NA,NA,NA,NA
65,1948,NA,NA,NA,NA
66,1948,NA,NA,NA,NA
67,1948,NA,NA,NA,NA
68,1948,NA,NA,NA,NA
69,1948,NA,NA,NA,NA
70,1948,NA,NA,NA,NA
71,1948,NA,NA,NA,NA
72,1948,NA,NA,NA,NA
73,1948,NA,NA,NA,NA
74,1948,NA,NA,NA,NA
75,1948,NA,NA,NA,NA
76,1948,NA,NA,NA,NA
77,1948,NA,NA,NA,NA
78,1948,NA,NA,NA,NA
79,1948,NA,NA,NA,NA
80,1948,NA,NA,NA,NA
81,1948,NA,NA,NA,NA
82,1948,NA,NA,NA,NA
83,1948,NA,NA,NA,NA
84,1948,NA,NA,NA,NA
85,1948,NA,NA,NA,NA
86,1948,NA,NA,NA,NA
87,1948,NA,NA,NA,NA
88,1948,NA,NA,NA,NA
89,1948,NA,NA,NA,NA
90,1948,NA,NA,NA,NA
91,1948,NA,NA,NA,NA
92,1948,NA,NA,NA,NA
93,1948,NA,NA,NA,NA
94,1948,NA,NA,NA,NA
95,1948,NA,NA,NA,NA
96,1948,NA,NA,NA,NA
97,1948,NA,NA,NA,NA
98,1948,NA,NA,NA,NA
99,1948,NA,NA,NA,NA
100,1948,NA,NA,NA,NA
101,1948,NA,NA,NA,NA
102,1948,NA,NA,NA,NA
103,1948,NA,NA,NA,NA
104,1948,NA,NA,NA,NA
105,1948,NA,NA,NA,NA
106,1948,NA,NA,NA,NA
107,1948,NA,NA,NA,NA
108,1948,NA,NA,NA,NA
109,1948,NA,NA,NA,NA
110,1948,NA,NA,NA,NA
111,1948,NA,NA,NA,NA
112,1948,NA,NA,NA,NA
113,1948,NA,NA,NA,NA
114,1948,NA,NA,NA,NA
115,1948,NA,NA,NA,NA
116,1948,NA,NA,NA,NA
117,1948,NA,NA,NA,NA
118,1948,NA,NA,NA,NA
119,1948,NA,NA,NA,NA
120,1948,NA,NA,NA,NA
121,1948,NA,NA,NA,NA
122,1948,NA,NA,NA,NA
123,1948,NA,NA,NA,NA
124,1948,NA,NA,NA,NA
125,1948,NA,NA,NA,NA
126,1948,NA,NA,NA,NA
127,1948,NA,NA,NA,NA
128,1948,NA,NA,NA,NA
129,1948,NA,NA,NA,NA
130,1948,NA,NA,NA,NA
131,1948,NA,NA,NA,NA
132,1948,NA,NA,NA,NA
133,1948,NA,NA,NA,NA
134,1948,NA,NA,NA,NA
135,1948,NA,NA,NA,NA
136,1948,NA,NA,NA,NA
137,1948,NA,NA,NA,NA
138,1948,NA,NA,NA,NA
139,1948,NA,NA,NA,NA
140,1948,NA,NA,NA,NA
141,1948,NA,NA,NA,NA
142,1948,NA,NA,NA,NA
143,1948,NA,NA,NA,NA
144,1948,NA,NA,NA,NA
145,1948,NA,NA,NA,NA
146,1948,NA,NA,NA,NA
147,1948,NA,NA,NA,NA
148,1948,NA,NA,NA,NA
149,1948,NA,NA,NA,NA
150,1948,NA,NA,NA,NA
151,1948,NA,NA,NA,NA
152,1948,NA,NA,NA,NA
153,1948,NA,NA,NA,NA
154,1948,NA,NA,NA,NA
155,1948,NA,NA,NA,NA
156,1948,NA,NA,NA,NA
157,1948,NA,NA,NA,NA
158,1948,NA,NA,NA,NA
159,1948,NA,NA,NA,NA
160,1948,NA,NA,NA,NA
161,1948,NA,NA,NA,NA
162,1948,NA,NA,NA,NA
163,1948,NA,NA,NA,NA
164,1948,NA,NA,NA,NA
165,1948,NA,NA,NA,NA
166,1948,NA,NA,NA,NA
167,1948,NA,NA,NA,NA
168,1948,NA,NA,NA,NA
169,1948,NA,NA,NA,NA
170,1948,NA,NA,NA,NA
171,1948,NA,NA,NA,NA
172,1948,NA,NA,NA,NA
173,1948,NA,NA,NA,NA
174,1948,NA,NA,NA,NA
175,1948,NA,NA,NA,NA
176,1948,NA,NA,NA,NA
177,1948,NA,NA,NA,NA
178,1948,NA,NA,NA,NA
179,1948,NA,NA,NA,NA
180,1948,NA,NA,NA,NA
181,1948,NA,NA,NA,NA
182,1948,NA,NA,NA,NA
183,1948,NA,NA,NA,NA
184,1948,NA,NA,NA,NA
185,1948,NA,NA,NA,NA
186,1948,NA,NA,NA,NA
187,1948,NA,NA,NA,NA
188,1948,NA,NA,NA,NA
189,1948,NA,NA,NA,NA
190,1948,NA,NA,NA,NA
191,1948,NA,NA,NA,NA
192,1948,NA,NA,NA,NA
193,1948,NA,NA,NA,NA
194,1948,NA,NA,NA,NA
195,1948,NA,NA,NA,NA
196,1948,NA,NA,NA,NA
197,1948,NA,NA,NA,NA
198,1948,NA,NA,NA,NA
199,1948,NA,NA,NA,NA
200,1948,NA,NA,NA,NA
201,1948,NA,NA,NA,NA
202,1948,NA,NA,NA,NA
203,1948,NA,NA,NA,NA
204,1948,NA,NA,NA,NA
205,1948,NA,NA,NA,NA
206,1948,NA,NA,NA,NA
207,1948,NA,NA,NA,NA
208,1948,NA,NA,NA,NA
209,1948,NA,NA,NA,NA
210,1948,NA,NA,NA,NA
211,1948,NA,NA,NA,NA
212,1948,NA,NA,NA,NA
213,1948,NA,NA,NA,NA
214,1948,NA,NA,NA,NA
215,1948,NA,NA,NA,NA
216,1948,NA,NA,NA,NA
217,1948,NA,NA,NA,NA
218,1948,NA,NA,NA,NA
219,1948,NA,NA,NA,NA
220,1948,NA,NA,NA,NA
221,1948,NA,NA,NA,NA
222,1948,NA,NA,NA,NA
223,1948,NA,NA,NA,NA
224,1948,NA,NA,NA,NA
225,1948,NA,NA,NA,NA
226,1948,NA,NA,NA,NA
227,1948,NA,NA,NA,NA
228,1948,NA,NA,NA,NA
229,1948,NA,NA,NA,NA
230,1948,NA,NA,NA,NA
231,1948,NA,NA,NA,NA
232,1948,NA,NA,NA,NA
233,1948,NA,NA,NA,NA
234,1948,NA,NA,NA,NA
235,1948,NA,NA,NA,NA
236,1948,NA,NA,NA,NA
237,1948,NA,NA,NA,NA
238,1948,NA,NA,NA,NA
239,1948,NA,NA,NA,NA
240,1948,NA,NA,NA,NA
241,1948,NA,NA,NA,NA
242,1948,NA,NA,NA,NA
243,1948,NA,NA,NA,NA
244,1948,NA,NA,NA,NA
245,1948,NA,NA,NA,NA
246,1948,NA,NA,NA,NA
247,1948,NA,NA,NA,NA
248,1948,NA,NA,NA,NA
249,1948,NA,NA,NA,NA
250,1948,NA,NA,NA,NA
251,1948,NA,NA,NA,NA
252,1948,NA,NA,NA,NA
253,1948,NA,NA,NA,NA
254,1948,NA,NA,NA,NA
255,1948,NA,NA,NA,NA
256,1948,NA,NA,NA,NA
257,1948,NA,NA,NA,NA
258,1948,NA,NA,NA,NA
259,1948,NA,NA,NA,NA
260,1948,NA,NA,NA,NA
261,1948,NA,NA,NA,NA
262,1948,NA,NA,NA,NA
263,1948,NA,NA,NA,NA
264,1948,NA,NA,NA,NA
265,1948,NA,NA,NA,NA
266,1948,NA,NA,NA,NA
267,1948,NA,NA,NA,NA
268,1948,NA,NA,NA,NA
269,1948,NA,NA,NA,NA
270,1948,NA,NA,NA,NA
271,1948,NA,NA,NA,NA
272,1948,NA,NA,NA,NA
273,1948,NA,NA,NA,NA
274,1948,NA,NA,NA,NA
275,1948,NA,NA,NA,NA
276,1948,NA,NA,NA,NA
277,1948,NA,NA,NA,NA
278,1948,NA,NA,NA,NA
279,1948,NA,NA,NA,NA
280,1948,NA,NA,NA,NA
281,1948,NA,NA,NA,NA
282,1948,NA,NA,NA,NA
283,1948,NA,NA,NA,NA
284,1948,NA,NA,NA,NA
285,1948,NA,NA,NA,NA
286,1948,NA,NA,NA,NA
287,1948,NA,NA,NA,NA
288,1948,NA,NA,NA,NA
289,1948,NA,NA,NA,NA
290,1948,NA,NA,NA,NA
291,1948,NA,NA,NA,NA
292,1948,NA,NA,NA,NA
293,1948,NA,NA,NA,NA
294,1948,NA,NA,NA,NA
295,1948,NA,NA,NA,NA
296,1948,NA,NA,NA,NA
297,1948,NA,NA,NA,NA
298,1948,NA,NA,NA,NA
299,1948,NA,NA,NA,NA
300,1948,NA,NA,NA,NA
301,1948,NA,NA,NA,NA
302,1948,NA,NA,NA,NA
303,1948,NA,NA,NA,NA
304,1948,NA,NA,NA,NA
305,1948,NA,NA,NA,NA
306,1948,NA,NA,NA,NA
307,1948,NA,NA,NA,NA
308,1948,NA,NA,NA,NA
309,1948,NA,NA,NA,NA
310,1948,NA,NA,NA,NA
311,1948,NA,NA,NA,NA
312,1948,NA,NA,NA,NA
313,1948,NA,NA,NA,NA
314,1948,NA,NA,NA,NA
315,1948,NA,NA,NA,NA
316,1948,NA,NA,NA,NA
317,1948,NA,NA,NA,NA
318,1948,NA,NA,NA,NA
319,1948,NA,NA,NA,NA
320,1948,NA,NA,NA,NA
321,1948,NA,NA,NA,NA
322,1948,NA,NA,NA,NA
323,1948,NA,NA,NA,NA
324,1948,NA,NA,NA,NA
325,1948,NA,NA,NA,NA
326,1948,NA,NA,NA,NA
327,1948,NA,NA,NA,NA
328,1948,NA,NA,NA,NA
329,1948,NA,NA,NA,NA
330,1948,NA,NA,NA,NA
331,1948,NA,NA,NA,NA
332,1948,NA,NA,NA,NA
333,1948,NA,NA,NA,NA
334,1948,NA,NA,NA,NA
335,1948,NA,NA,NA,NA
336,1948,NA,NA,NA,NA
337,1948,NA,NA,NA,NA
338,1948,NA,NA,NA,NA
339,1948,NA,NA,NA,NA
340,1948,NA,NA,NA,NA
341,1948,NA,NA,NA,NA
342,1948,NA,NA,NA,NA
343,1948,NA,NA,NA,NA
344,1948,NA,NA,NA,NA
345,1948,NA,NA,NA,NA
346,1948,NA,NA,NA,NA
347,1948,NA,NA,NA,NA
348,1948,NA,NA,NA,NA
349,1948,NA,NA,NA,NA
350,1948,NA,NA,NA,NA
351,1948,NA,NA,NA,NA
352,1948,NA,NA,NA,NA
353,1948,NA,NA,NA,NA
354,1948,NA,NA,NA,NA
355,1948,NA,NA,NA,NA
356,1948,NA,NA,NA,NA
357,1948,NA,NA,NA,NA
358,1948,NA,NA,NA,NA
359,1948,NA,NA,NA,NA
360,1948,NA,NA,NA,NA
361,1948,NA,NA,NA,NA
362,1948,NA,NA,NA,NA
363,1948,NA,NA,NA,NA
364,1948,NA,NA,NA,NA
365,1948,NA,NA,NA,NA
366,1948,NA,NA,NA,NA
367,1948,NA,NA,NA,NA
368,1948,NA,NA,NA,NA
